id	next	previous	captioning	pos	angle	audio	launchAngle
1	6	-1		0,8.292089,-41	0,0,1		2.445111
6	7	1		0,8.272301,6.317024	0,0,0.9999982		2.516002
7	-1	6		-36.30359,8.461839,28.10717	0,0,-1		1.845112
8	-1	-1		-36.30359,7.28049,28.10717	-0.9588192,0,0.2840173		6.645104
9	15	-1		-36.30359,7.28049,28.10717	-0.9588192,0,0.2840173		6.645104
11	12	15		-37.0547,6.75,51.8483	0,0,0.9999992		23.06548
12	18	17		-15.17277,7.528666,102.8267	-0.9998322,0,-0.01832497		5.445105
13	17	-1		-32.53418,8.250294,102.5084	-0.9998322,0,-0.01832485		2.595105
14	-1	-1		-41.14159,6.75,30.06347	-0.370564,0,0.928807		46.80976
15	11	-1		-41.14159,6.75,30.06347	-0.370564,0,0.928807		46.80976
16	-1	-1		-41.14159,6.75,30.06347	-0.370564,0,0.928807		46.80976
17	12	13		-22.72704,6.75,90.40907	0.2652189,0,0.9641882		44.02776
18	20	12		19.50957,9,99.05466	0.3207121,0,0.9471767		0
19	-1	-1		19.50957,8.517805,99.05466	-0.04787363,0,0.9988534		1.649999
20	21	18		32.02378,7.572615,105.9964	0.9968568,0,0.07922471		5.250003
21	22	20		42.77629,7.260724,106.0714	0.9999901,0,0		6.750017
22	23	21		24.50596,8.221233,62.81734	0.9997041,0,0.02432764		2.700014
23	24	22		42.62658,7.154095,57.92277	0.9696843,0,0.2443613		7.350019
24	25	23		30.4466,7.260724,26.08798	0.9998885,0,-0.01493752		6.750021
25	-1	24		45.10408,6.860122,25.86899	0.9997966,0,-0.02017283		9.60002

