id	next	previous	captioning	pos	angle	audio	launchAngle
1	2	-1		0,9,6.317849	0,0,1		0
2	3	1		-12.49967,6.75,57.42019	0.4186597,0,0.9081432		26.24999
3	4	2		-8.313648,6.75,66.50038	0.2815041,0,0.95956		29.24999
4	5	3		-39.17624,8.474758,48.57402	0,0,-0.9999864		1.799967
5	6	4		-34.26668,8.346869,12.85123	0.2283476,0,-0.9735798		2.249966
6	7	5		-27.55225,8.911676,55.21808	-0.9167106,0,0.3995518		0.2999643
7	8	6		-43.35921,8.999646,78.36105	-0.9998928,0,0.01464498		0.00119986
8	9	7		-37.81686,8.823113,141.3173	-0.9993553,0,-0.03590333		0.6012043
9	10	8		-14.93579,8.867187,135.4742	-0.01496623,0,0.999888		0.4512054
10	11	9		-25.42522,9.176176,167.9819	-0.01234864,0,0.9999238		-0.5987854
11	12	10		29.29295,9.652796,163.326	-0.02805277,0,0.9996064		-2.248779
12	13	11		28.62008,10.00854,187.3028	-0.1348063,0,0.990872		-3.550781
13	14	12		31.4351,9,134.5912	0.9992582,0,0.038513		0
14	15	13		34.66934,9,50.6753	0.9992582,0,0.038513		0
15	16	14		56.9454,6.750434,42.5494	0.9619457,0,0.2732407		11.85
16	-1	15		37.96375,9.525249,33.46928	0,0,-0.999963		-1.799988

