id	type	x	y	z	theta	gyokaku	range	spotAngle	intensity	color
1	spot	-60	73.5	23.82241	30.49205	141.1244	84	72.25106	2.459812	1,1,1,1
2	spot	-120	73.5	24.3877	36.96006	42.24739	56	65.65425	3.6	1,1,1,1
3	spot	-120	73.5	51.24206	19.86603	167.1919	73	79.94732	3.6	1,1,1,1
5	spot	-120	73.5	122.7598	26.0039	149.2143	71	76.28245	2.818155	1,1,1,1
7	spot	-90	73.5	130.0767	22.17603	275.0578	76	61.25637	3.6	1,1,1,1
8	spot	-30	73.5	129.9871	29.10605	288.9883	76	55.02607	3.6	1,1,1,1
9	spot	30	73.5	123.7336	38.34607	270.5634	88	52.82711	2.003736	1,1,1,1
10	spot	90	73.5	124.7702	31.41605	267.8667	74	61.62288	3.6	1,1,1,1
11	spot	120	73.5	107.6615	24.94804	12.24283	77	55.39255	3.6	1,1,1,1
12	spot	120	73.5	30.42989	32.34005	331.6872	76	53.1936	3.6	1,1,1,1
13	spot	90	73.5	40.01688	44.35207	70.1128	100	51.72767	1.417355	1,1,1,1
14	spot	60	73.5	31.37791	28.64404	115.6142	56	71.51807	3.6	1,1,1,1
