ID	data	wallCenter	wallRight	wallUp	wallFront	x	y	z	size	frameTitle	parent	uniqueCode
6	./Images/nakamura_9.jpg	0,37.5,197.5	1,0,0	0,1,0	0,0,1	-25.15969	-5.334017	0.2	2.9	MetalGold	-1:-1	5
24	./Images/ginzanezu.png	-42.5,37.5,0.5	-1,0,0	0,1,0	0,0,-1	-1.387649	-5.334002	0.2	5	none(caption)	-1:-1	32
26	./Images/nakamurademo_c-09.jpg	-42.5,37.5,0.5	-1,0,0	0,1,0	0,0,-1	-14.53249	-25.80897	0.2	0.7	none(caption)	-1:-1	34
29	./Images/nakamura_12.jpg	-68.25,37.5,100	0,0,1	0,1,0	-1,0,0	-21.7306	-5.050508	0.2	3	Wooden	-1:-1	43
30	./Images/nakamura_13.jpg	-68.25,37.5,100	0,0,1	0,1,0	-1,0,0	38.99326	-7.602011	0.2	4	Wooden	-1:-1	44
31	./Images/nakamura_8.jpg	0,37.5,197.5	1,0,0	0,1,0	0,0,1	28.1799	-3.790508	0.2	3	MetalGold	-1:-1	45
32	./Images/nakamura_14.jpg	68.25,37.5,100	0,0,-1	0,1,0	1,0,0	-36.7361	-7.98001	0.2	4.5	Wooden	-1:-1	46
33	./Images/nakamura_17.jpg	68.25,37.5,100	0,0,-1	0,1,0	1,0,0	55.36031	-14.31149	0.2	3	Wooden_thin	-1:-1	47
34	./Images/nakamura_18.jpg	68.25,37.5,100	0,0,-1	0,1,0	1,0,0	38.6686	-3.066003	0.2	3	Wooden_thin	-1:-1	48
35	./Images/nakamurademo_c-06.jpg	0,37.5,197.5	1,0,0	0,1,0	0,0,1	-39.69438	-22.43849	0.2	0.7	none(caption)	-1:-1	49
36	./Images/nakamurademo_c-07.jpg	0,37.5,197.5	1,0,0	0,1,0	0,0,1	14.13186	-22.59598	0.2	0.7	none(caption)	-1:-1	50
37	./Images/nakamurademo_c-09.jpg	-68.25,37.5,100	0,0,1	0,1,0	-1,0,0	-54.08817	-14.2485	0.2	1	none(caption)	-1:-1	51
38	./Images/nakamurademo_c-05.jpg	68.25,37.5,100	0,0,-1	0,1,0	1,0,0	26.7112	-17.58749	0.2	0.7	none(caption)	-1:-1	52
40	./Images/nakamurademo_c-08.jpg	-2.111094,11.144,75.76426	0.8961173,0,-0.4438174	0,1,0	0.4438174,0,0.8961173	-11.13332	0.4839981	0.2	0.4	none(caption)	9:0	54
44	./Images/nakamurademo_c-03.jpg	68.25,37.5,100	0,0,-1	0,1,0	1,0,0	-60.06483	-21.33599	0.2	0.7	none(caption)	-1:-1	58
45	./Images/atagosyojo.jpg	42.5,37.5,0.5	-1,0,0	0,1,0	0,0,-1	2.891469	-2.939998	0.2	2	none(caption)	-1:-1	59
46	./Images/nakamurademo_c-10.jpg	42.5,37.5,0.5	-1,0,0	0,1,0	0,0,-1	-3.145209	-15.6975	0.2	0.7	none(caption)	-1:-1	60
47	./Images/nakamurademo_c-11.jpg	-2.111094,11.144,75.76425	0.8961173,0,-0.4438174	0,1,0	0.4438174,0,0.8961173	3.427414	0.3265016	0.2	0.4	none(caption)	9:0	43
